kind	id	title	year	titleYear	status	matchedKey	candidateKeys
movie	ftp_62	Tu Yaa Main (2026)	2026	2026	MISS		movie:Tu Yaa Main:2026 | movie:Tu Yaa Main (2026):2026 | movie:ftp_62:2026 | movie:Tu Yaa Main: | movie:Tu Yaa Main (2026):
movie	ftp_63	Alice (2022)	2022	2022	MISS		movie:Alice:2022 | movie:Alice (2022):2022 | movie:ftp_63:2022 | movie:Alice: | movie:Alice (2022):
movie	ftp_64	Sniper (1993)	2026	1993	MISS		movie:Sniper:1993 | movie:Sniper:2026 | movie:Sniper (1993):1993 | movie:Sniper (1993):2026 | movie:ftp_64:1993 | movie:ftp_64:2026 | movie:Sniper: | movie:Sniper (1993):
movie	ftp_65	Street Smart (1987)	2026	1987	HIT_EXACT	movie:Street Smart:2026	movie:Street Smart:1987 | movie:Street Smart:2026 | movie:Street Smart (1987):1987 | movie:Street Smart (1987):2026 | movie:ftp_65:1987 | movie:ftp_65:2026 | movie:Street Smart: | movie:Street Smart (1987):
movie	ftp_66	Supergirl (1984)	2026	1984	MISS		movie:Supergirl:1984 | movie:Supergirl:2026 | movie:Supergirl (1984):1984 | movie:Supergirl (1984):2026 | movie:ftp_66:1984 | movie:ftp_66:2026 | movie:Supergirl: | movie:Supergirl (1984):
movie	ftp_67	The Paper (1994)	2026	1994	MISS		movie:The Paper:1994 | movie:The Paper:2026 | movie:The Paper (1994):1994 | movie:The Paper (1994):2026 | movie:ftp_67:1994 | movie:ftp_67:2026 | movie:The Paper: | movie:The Paper (1994):
movie	ftp_68	Twisted (2026)	2026	2026	MISS		movie:Twisted:2026 | movie:Twisted (2026):2026 | movie:ftp_68:2026 | movie:Twisted: | movie:Twisted (2026):
movie	ftp_69	Hop (2011)	2026	2011	MISS		movie:Hop:2011 | movie:Hop:2026 | movie:Hop (2011):2011 | movie:Hop (2011):2026 | movie:ftp_69:2011 | movie:ftp_69:2026 | movie:Hop: | movie:Hop (2011):
movie	ftp_70	Boulevard (2014)	2026	2014	MISS		movie:Boulevard:2014 | movie:Boulevard:2026 | movie:Boulevard (2014):2014 | movie:Boulevard (2014):2026 | movie:ftp_70:2014 | movie:ftp_70:2026 | movie:Boulevard: | movie:Boulevard (2014):
movie	ftp_71	The Cure (2020)	2026	2020	MISS		movie:The Cure:2020 | movie:The Cure:2026 | movie:The Cure (2020):2020 | movie:The Cure (2020):2026 | movie:ftp_71:2020 | movie:ftp_71:2026 | movie:The Cure: | movie:The Cure (2020):
movie	ftp_72	Goat (2016)	2026	2016	MISS		movie:Goat:2016 | movie:Goat:2026 | movie:Goat (2016):2016 | movie:Goat (2016):2026 | movie:ftp_72:2016 | movie:ftp_72:2026 | movie:Goat: | movie:Goat (2016):
movie	ftp_73	The Mermaid (2016)	2026	2016	MISS		movie:The Mermaid:2016 | movie:The Mermaid:2026 | movie:The Mermaid (2016):2016 | movie:The Mermaid (2016):2026 | movie:ftp_73:2016 | movie:ftp_73:2026 | movie:The Mermaid: | movie:The Mermaid (2016):
movie	ftp_74	Revenge (2017)	2026	2017	MISS		movie:Revenge:2017 | movie:Revenge:2026 | movie:Revenge (2017):2017 | movie:Revenge (2017):2026 | movie:ftp_74:2017 | movie:ftp_74:2026 | movie:Revenge: | movie:Revenge (2017):
movie	ftp_75	Waru (2017)	2026	2017	MISS		movie:Waru:2017 | movie:Waru:2026 | movie:Waru (2017):2017 | movie:Waru (2017):2026 | movie:ftp_75:2017 | movie:ftp_75:2026 | movie:Waru: | movie:Waru (2017):
movie	ftp_76	Black Flowers (2018)	2026	2018	MISS		movie:Black Flowers:2018 | movie:Black Flowers:2026 | movie:Black Flowers (2018):2018 | movie:Black Flowers (2018):2026 | movie:ftp_76:2018 | movie:ftp_76:2026 | movie:Black Flowers: | movie:Black Flowers (2018):
movie	ftp_77	Don't Go (2018)	2026	2018	MISS		movie:Don't Go:2018 | movie:Don't Go:2026 | movie:Don't Go (2018):2018 | movie:Don't Go (2018):2026 | movie:ftp_77:2018 | movie:ftp_77:2026 | movie:Don't Go: | movie:Don't Go (2018):
movie	ftp_78	The World Is Full of Secrets (2018)	2026	2018	MISS		movie:The World Is Full of Secrets:2018 | movie:The World Is Full of Secrets:2026 | movie:The World Is Full of Secrets (2018):2018 | movie:The World Is Full of Secrets (2018):2026 | movie:ftp_78:2018 | movie:ftp_78:2026 | movie:The World Is Full of Secrets: | movie:The World Is Full of Secrets (2018):
movie	ftp_79	Drama Drama (2019)	2026	2019	MISS		movie:Drama Drama:2019 | movie:Drama Drama:2026 | movie:Drama Drama (2019):2019 | movie:Drama Drama (2019):2026 | movie:ftp_79:2019 | movie:ftp_79:2026 | movie:Drama Drama: | movie:Drama Drama (2019):
movie	ftp_80	Mayday (2021)	2021	2021	MISS		movie:Mayday:2021 | movie:Mayday (2021):2021 | movie:ftp_80:2021 | movie:Mayday: | movie:Mayday (2021):
movie	ftp_81	Obsession (2019)	2026	2019	MISS		movie:Obsession:2019 | movie:Obsession:2026 | movie:Obsession (2019):2019 | movie:Obsession (2019):2026 | movie:ftp_81:2019 | movie:ftp_81:2026 | movie:Obsession: | movie:Obsession (2019):
movie	ftp_82	Safe Spaces (2019)	2026	2019	MISS		movie:Safe Spaces:2019 | movie:Safe Spaces:2026 | movie:Safe Spaces (2019):2019 | movie:Safe Spaces (2019):2026 | movie:ftp_82:2019 | movie:ftp_82:2026 | movie:Safe Spaces: | movie:Safe Spaces (2019):
movie	ftp_83	The Assistant (2022)	2026	2022	MISS		movie:The Assistant:2022 | movie:The Assistant:2026 | movie:The Assistant (2022):2022 | movie:The Assistant (2022):2026 | movie:ftp_83:2022 | movie:ftp_83:2026 | movie:The Assistant: | movie:The Assistant (2022):
movie	ftp_84	The Giant (2019)	2026	2019	MISS		movie:The Giant:2019 | movie:The Giant:2026 | movie:The Giant (2019):2019 | movie:The Giant (2019):2026 | movie:ftp_84:2019 | movie:ftp_84:2026 | movie:The Giant: | movie:The Giant (2019):
movie	ftp_85	Toxicity (2019)	2026	2019	MISS		movie:Toxicity:2019 | movie:Toxicity:2026 | movie:Toxicity (2019):2019 | movie:Toxicity (2019):2026 | movie:ftp_85:2019 | movie:ftp_85:2026 | movie:Toxicity: | movie:Toxicity (2019):
movie	ftp_86	Paper Tiger (2020)	2026	2020	MISS		movie:Paper Tiger:2020 | movie:Paper Tiger:2026 | movie:Paper Tiger (2020):2020 | movie:Paper Tiger (2020):2026 | movie:ftp_86:2020 | movie:ftp_86:2026 | movie:Paper Tiger: | movie:Paper Tiger (2020):
movie	ftp_87	Pressure (2020)	2026	2020	MISS		movie:Pressure:2020 | movie:Pressure:2026 | movie:Pressure (2020):2020 | movie:Pressure (2020):2026 | movie:ftp_87:2020 | movie:ftp_87:2026 | movie:Pressure: | movie:Pressure (2020):
movie	ftp_88	The Florist (2020)	2026	2020	MISS		movie:The Florist:2020 | movie:The Florist:2026 | movie:The Florist (2020):2020 | movie:The Florist (2020):2026 | movie:ftp_88:2020 | movie:ftp_88:2026 | movie:The Florist: | movie:The Florist (2020):
movie	ftp_89	American Dream (2021)	2026	2021	MISS		movie:American Dream:2021 | movie:American Dream:2026 | movie:American Dream (2021):2021 | movie:American Dream (2021):2026 | movie:ftp_89:2021 | movie:ftp_89:2026 | movie:American Dream: | movie:American Dream (2021):
movie	ftp_90	Apex (2021)	2026	2021	MISS		movie:Apex:2021 | movie:Apex:2026 | movie:Apex (2021):2021 | movie:Apex (2021):2026 | movie:ftp_90:2021 | movie:ftp_90:2026 | movie:Apex: | movie:Apex (2021):
movie	ftp_91	Assistant (2021)	2026	2021	MISS		movie:Assistant:2021 | movie:Assistant:2026 | movie:Assistant (2021):2021 | movie:Assistant (2021):2026 | movie:ftp_91:2021 | movie:ftp_91:2026 | movie:Assistant: | movie:Assistant (2021):
movie	ftp_92	Hot Water (2021)	2026	2021	MISS		movie:Hot Water:2021 | movie:Hot Water:2026 | movie:Hot Water (2021):2021 | movie:Hot Water (2021):2026 | movie:ftp_92:2021 | movie:ftp_92:2026 | movie:Hot Water: | movie:Hot Water (2021):
movie	ftp_93	Whitetail (2021)	2026	2021	MISS		movie:Whitetail:2021 | movie:Whitetail:2026 | movie:Whitetail (2021):2021 | movie:Whitetail (2021):2026 | movie:ftp_93:2021 | movie:ftp_93:2026 | movie:Whitetail: | movie:Whitetail (2021):
movie	ftp_94	Head to Head (2023)	2026	2023	HIT_EXACT	movie:Head to Head:2026	movie:Head to Head:2023 | movie:Head to Head:2026 | movie:Head to Head (2023):2023 | movie:Head to Head (2023):2026 | movie:ftp_94:2023 | movie:ftp_94:2026 | movie:Head to Head: | movie:Head to Head (2023):
movie	ftp_95	The Blind (2023)	2026	2023	MISS		movie:The Blind:2023 | movie:The Blind:2026 | movie:The Blind (2023):2023 | movie:The Blind (2023):2026 | movie:ftp_95:2023 | movie:ftp_95:2026 | movie:The Blind: | movie:The Blind (2023):
movie	ftp_96	Distant (2024)	2026	2024	MISS		movie:Distant:2024 | movie:Distant:2026 | movie:Distant (2024):2024 | movie:Distant (2024):2026 | movie:ftp_96:2024 | movie:ftp_96:2026 | movie:Distant: | movie:Distant (2024):
movie	ftp_97	Love Me (2024)	2026	2024	MISS		movie:Love Me:2024 | movie:Love Me:2026 | movie:Love Me (2024):2024 | movie:Love Me (2024):2026 | movie:ftp_97:2024 | movie:ftp_97:2026 | movie:Love Me: | movie:Love Me (2024):
movie	ftp_98	We Bury the Dead (2024)	2026	2024	MISS		movie:We Bury the Dead:2024 | movie:We Bury the Dead:2026 | movie:We Bury the Dead (2024):2024 | movie:We Bury the Dead (2024):2026 | movie:ftp_98:2024 | movie:ftp_98:2026 | movie:We Bury the Dead: | movie:We Bury the Dead (2024):
movie	ftp_99	Broke (2025)	2026	2025	MISS		movie:Broke:2025 | movie:Broke:2026 | movie:Broke (2025):2025 | movie:Broke (2025):2026 | movie:ftp_99:2025 | movie:ftp_99:2026 | movie:Broke: | movie:Broke (2025):
movie	ftp_100	Dead Man's Wire (2025)	2026	2025	MISS		movie:Dead Man's Wire:2025 | movie:Dead Man's Wire:2026 | movie:Dead Man's Wire (2025):2025 | movie:Dead Man's Wire (2025):2026 | movie:ftp_100:2025 | movie:ftp_100:2026 | movie:Dead Man's Wire: | movie:Dead Man's Wire (2025):
movie	ftp_101	Good Boy (2025)	2026	2025	MISS		movie:Good Boy:2025 | movie:Good Boy:2026 | movie:Good Boy (2025):2025 | movie:Good Boy (2025):2026 | movie:ftp_101:2025 | movie:ftp_101:2026 | movie:Good Boy: | movie:Good Boy (2025):
movie	ftp_102	Honey Bunch (2025)	2026	2025	MISS		movie:Honey Bunch:2025 | movie:Honey Bunch:2026 | movie:Honey Bunch (2025):2025 | movie:Honey Bunch (2025):2026 | movie:ftp_102:2025 | movie:ftp_102:2026 | movie:Honey Bunch: | movie:Honey Bunch (2025):
movie	ftp_103	Night Patrol (2025)	2026	2025	HIT_EXACT	movie:Night Patrol:2026	movie:Night Patrol:2025 | movie:Night Patrol:2026 | movie:Night Patrol (2025):2025 | movie:Night Patrol (2025):2026 | movie:ftp_103:2025 | movie:ftp_103:2026 | movie:Night Patrol: | movie:Night Patrol (2025):
movie	ftp_104	Nirvanna the Band the Show the Movie (2025)	2026	2025	MISS		movie:Nirvanna the Band the Show the Movie:2025 | movie:Nirvanna the Band the Show the Movie:2026 | movie:Nirvanna the Band the Show the Movie (2025):2025 | movie:Nirvanna the Band the Show the Movie (2025):2026 | movie:ftp_104:2025 | movie:ftp_104:2026 | movie:Nirvanna the Band the Show the Movie: | movie:Nirvanna the Band the Show the Movie (2025):
movie	ftp_105	Obex (2025)	2026	2025	MISS		movie:Obex:2025 | movie:Obex:2026 | movie:Obex (2025):2025 | movie:Obex (2025):2026 | movie:ftp_105:2025 | movie:ftp_105:2026 | movie:Obex: | movie:Obex (2025):
movie	ftp_106	Pose (2025)	2026	2025	MISS		movie:Pose:2025 | movie:Pose:2026 | movie:Pose (2025):2025 | movie:Pose (2025):2026 | movie:ftp_106:2025 | movie:ftp_106:2026 | movie:Pose: | movie:Pose (2025):
movie	ftp_107	Sweetness (2025)	2026	2025	HIT_EXACT	movie:Sweetness:2026	movie:Sweetness:2025 | movie:Sweetness:2026 | movie:Sweetness (2025):2025 | movie:Sweetness (2025):2026 | movie:ftp_107:2025 | movie:ftp_107:2026 | movie:Sweetness: | movie:Sweetness (2025):
movie	ftp_108	The Confession (2025)	2026	2025	MISS		movie:The Confession:2025 | movie:The Confession:2026 | movie:The Confession (2025):2025 | movie:The Confession (2025):2026 | movie:ftp_108:2025 | movie:ftp_108:2026 | movie:The Confession: | movie:The Confession (2025):
movie	ftp_109	The Singers (2025)	2026	2025	MISS		movie:The Singers:2025 | movie:The Singers:2026 | movie:The Singers (2025):2025 | movie:The Singers (2025):2026 | movie:ftp_109:2025 | movie:ftp_109:2026 | movie:The Singers: | movie:The Singers (2025):
movie	ftp_110	Whistle (2025)	2026	2025	MISS		movie:Whistle:2025 | movie:Whistle:2026 | movie:Whistle (2025):2025 | movie:Whistle (2025):2026 | movie:ftp_110:2025 | movie:ftp_110:2026 | movie:Whistle: | movie:Whistle (2025):
movie	ftp_111	Grizzly Night (2026)	2026	2026	MISS		movie:Grizzly Night:2026 | movie:Grizzly Night (2026):2026 | movie:ftp_111:2026 | movie:Grizzly Night: | movie:Grizzly Night (2026):
movie	ftp_112	Hellfire (2026)	2026	2026	MISS		movie:Hellfire:2026 | movie:Hellfire (2026):2026 | movie:ftp_112:2026 | movie:Hellfire: | movie:Hellfire (2026):
movie	ftp_113	How to Make a Killing (2026)	2026	2026	MISS		movie:How to Make a Killing:2026 | movie:How to Make a Killing (2026):2026 | movie:ftp_113:2026 | movie:How to Make a Killing: | movie:How to Make a Killing (2026):
movie	ftp_114	I Can Only Imagine 2 (2026)	2026	2026	MISS		movie:I Can Only Imagine 2:2026 | movie:I Can Only Imagine 2 (2026):2026 | movie:ftp_114:2026 | movie:I Can Only Imagine 2: | movie:I Can Only Imagine 2 (2026):
movie	ftp_115	In the Blink of an Eye (2026)	2026	2026	MISS		movie:In the Blink of an Eye:2026 | movie:In the Blink of an Eye (2026):2026 | movie:ftp_115:2026 | movie:In the Blink of an Eye: | movie:In the Blink of an Eye (2026):
movie	ftp_116	Killer Whale (2026)	2026	2026	MISS		movie:Killer Whale:2026 | movie:Killer Whale (2026):2026 | movie:ftp_116:2026 | movie:Killer Whale: | movie:Killer Whale (2026):
movie	ftp_117	Love Me, Love Me (2026)	2026	2026	MISS		movie:Love Me, Love Me:2026 | movie:Love Me, Love Me (2026):2026 | movie:ftp_117:2026 | movie:Love Me, Love Me: | movie:Love Me, Love Me (2026):
movie	ftp_118	Mike & Nick & Nick & Alice (2026)	2026	2026	MISS		movie:Mike & Nick & Nick & Alice:2026 | movie:Mike & Nick & Nick & Alice (2026):2026 | movie:ftp_118:2026 | movie:Mike & Nick & Nick & Alice: | movie:Mike & Nick & Nick & Alice (2026):
movie	ftp_119	Misdirection (2026)	2026	2026	MISS		movie:Misdirection:2026 | movie:Misdirection (2026):2026 | movie:ftp_119:2026 | movie:Misdirection: | movie:Misdirection (2026):
